x,y,label
0.050904582,0.095548542,0
0.448644223,0.361113165,0
0.726526115,-0.103703105,0
-0.327005206,0.315203272,0
0.593998202,0.52917734,0
-0.110725983,-0.188917639,0
0.113832023,-0.033913035,0
0.005644681,-0.367864665,0
-0.087456939,-0.26352181,0
-0.152328341,-0.35093339,0
0.292491942,-0.01317432,0
-0.038528667,-0.112968278,0
0.108120655,0.433657391,0
0.027684401,-0.236285668,0
0.907958528,0.335292837,0
0.536590847,0.121678745,0
-0.270583511,-0.035331952,0
-0.547021633,-0.008715566,0
0.209689884,-0.269124698,0
-0.152328117,-0.210647594,0
-0.574355925,-0.632179957,0
0.298577274,0.206474688,0
0.262726979,0.02449089,0
-0.512635786,-0.438796081,0
-0.630239443,-0.296912653,0
-0.345163332,0.640285952,0
0.25144641,-0.292856825,0
-0.159339281,0.133661506,0
-0.01817415,0.08346459,0
0.145763194,0.231667962,0
-0.112694606,0.176375865,0
0.576222063,-0.241866971,0
-0.000688916,-0.34900979,0
0.001421715,0.103173188,0
0.553160534,0.276062399,0
0.346539814,-0.125045863,0
0.234811777,0.718936421,0
-0.196771712,-0.282304751,0
0.108628778,0.207862069,0
0.166624372,-0.049100491,0
0.015374465,-0.294064613,0
0.372177361,-0.04215043,0
0.488364985,-0.256130139,0
-0.312108997,0.280628003,0
0.281759755,-0.058092381,0
-0.411996838,0.352280345,0
-0.465840727,-0.442118011,0
-0.127304102,0.103463881,0
0.194166576,0.447862589,0
0.17001365,0.163309588,0
-0.465334039,0.183319899,0
-0.308767681,-0.38289795,0
0.044458534,0.513726571,0
0.041651854,-0.159114844,0
0.086048234,0.050580014,0
-0.190874112,-0.002051514,0
0.041645388,0.142148421,0
0.46484164,0.213067038,0
-0.079023208,-0.184188893,0
-0.098665345,-0.124374759,0
-0.001195359,0.119587669,0
0.614026449,0.033222445,0
-0.22258904,-0.180314238,0
-0.244227173,0.193172997,0
-0.282362385,0.654707684,0
0.232486948,-0.252963154,0
0.048206189,0.247674586,0
-0.012934893,0.080996961,0
-0.276165615,0.006353894,0
0.27855123,0.160403901,0
0.177566786,0.064891002,0
0.223568604,0.206189348,0
0.297937242,0.127925073,0
-0.126289567,0.039111932,0
-0.284651243,-0.220069891,0
-0.46559993,-0.216826445,0
-0.263605877,-0.134747081,0
-0.18219736,-0.124642622,0
0.131015423,-0.45410497,0
-0.150301238,0.173942677,0
0.285961462,-0.046323535,0
-0.079166465,0.343667454,0
0.509991964,0.133942022,0
0.307735331,0.036359266,0
0.42920403,0.064643138,0
0.112105608,-0.117090116,0
0.086722232,0.151072651,0
0.1589272,-0.19445078,0
0.481956838,0.198423374,0
-0.773584016,-0.266741563,0
-0.068357633,-0.085219335,0
-0.039909169,-0.037134692,0
0.600443309,-0.060763834,0
0.184007312,-0.329056017,0
0.38560639,-0.44139826,0
-0.624904433,0.617970415,0
0.380467793,-0.062570569,0
-0.160200283,-0.002580489,0
0.0445365,-0.055823928,0
-0.327218102,-0.343044448,0
0.311594767,-0.22707347,0
-0.097753161,-0.201239337,0
-0.262079775,-0.715660691,0
-0.231481638,0.091609356,0
0.226200451,-0.167895359,0
0.02918324,0.16204995,0
0.190337054,0.615703203,0
0.184149567,-0.095141947,0
0.313873138,0.058739869,0
0.289731209,-0.575638151,0
0.284643795,-0.177543932,0
0.448105626,-0.250966556,0
0.066860087,-0.230424881,0
0.096730376,0.457218109,0
0.28697508,0.304810534,0
-0.052505193,-0.347870882,0
0.002084437,0.562262077,0
0.046173898,0.135239173,0
